X,Y,Z
194990.0,7398398.0,578.475176349
195024.0,7398482.0,577.719129466
194954.0,7398492.0,578.150012997
194880.0,7398425.0,578.598150786
194806.0,7398358.0,579.797419004
194718.0,7398327.0,579.962801149
194625.0,7398350.0,582.682087382
194556.0,7398422.0,583.377230068
194487.0,7398494.0,583.675508031
194465.0,7398586.0,586.07331997
194495.0,7398674.0,591.201899144
194571.0,7398739.0,588.086283555
194650.0,7398800.0,594.844926749
194730.0,7398861.0,584.86552688
194809.0,7398922.0,584.810718924
194889.0,7398981.0,576.757654852
194971.0,7399040.0,576.477162341
195052.0,7399098.0,573.575086412
195133.0,7399156.0,576.448675354
195171.0,7399239.0,575.404030588
195073.0,7399236.0,572.526235411
194974.0,7399227.0,573.505799044
194874.0,7399238.0,574.382970632
194775.0,7399249.0,575.008571367
194693.0,7399197.0,575.86881258
194613.0,7399137.0,577.442012211
194533.0,7399076.0,579.123105869
194450.0,7399022.0,580.266995278
194358.0,7398991.0,581.190980026
194259.0,7399002.0,581.79446783
194159.0,7399013.0,583.172361766
194083.0,7399069.0,581.798036457
194024.0,7399148.0,580.729620642
194035.0,7399248.0,578.403950313
194069.0,7399339.0,577.66924177
194123.0,7399423.0,579.111417485
194177.0,7399507.0,580.475214937
194256.0,7399551.0,581.25621492
194356.0,7399554.0,584.45105174
194456.0,7399557.0,580.400540031
194555.0,7399567.0,578.886101473
194620.0,7399627.0,576.785408982
194659.0,7399719.0,577.731028386
194710.0,7399800.0,577.767633528
194803.0,7399836.0,576.405464653
194897.0,7399871.0,573.568755015
194986.0,7399916.0,572.434171044
195075.0,7399962.0,571.147234654
195093.0,7400053.0,570.677699135
195024.0,7400125.0,571.258972965
194955.0,7400198.0,571.517237498
194865.0,7400236.0,571.292133025
194769.0,7400253.0,572.065526726
194672.0,7400227.0,576.688310365
194576.0,7400202.0,576.717470277
194477.0,7400205.0,574.983565373
194382.0,7400227.0,574.276900006
194319.0,7400305.0,573.186103081
194296.0,7400395.0,571.818291436
194314.0,7400492.0,571.390811032
194403.0,7400537.0,572.20611169
194493.0,7400581.0,573.099142227
194586.0,7400613.0,573.5608742
194686.0,7400618.0,571.426792792
194786.0,7400622.0,570.242630969
194886.0,7400627.0,569.522552294
194986.0,7400632.0,568.895966002
195084.0,7400645.0,568.231268552
195183.0,7400663.0,567.416977
195282.0,7400677.0,566.710990674
195381.0,7400685.0,565.965829258
195481.0,7400694.0,565.077714154
195563.0,7400751.0,564.673688095
195646.0,7400807.0,564.060723617
195633.0,7400899.0,564.020381981
195636.0,7400997.0,563.707124599
195705.0,7401066.0,563.925706811
195790.0,7401110.0,564.62181425
195889.0,7401097.0,564.611455245
195953.0,7401021.0,563.385461263
196036.0,7401069.0,562.827765282
196101.0,7401136.0,561.567605287
196115.0,7401234.0,561.244653012
196121.0,7401332.0,560.886544328
196087.0,7401426.0,560.594824019
196116.0,7401519.0,559.81667987
196158.0,7401610.0,559.165980621
196140.0,7401697.0,558.538237485
196051.0,7401740.0,558.22381053
195956.0,7401769.0,558.174727794
195856.0,7401769.0,558.327007698
195760.0,7401743.0,558.480784694
195676.0,7401694.0,558.781711828
195608.0,7401622.0,559.505618664
195559.0,7401535.0,560.33741814
195508.0,7401449.0,561.326325896
195428.0,7401389.0,561.771984864
195332.0,7401386.0,561.931703159
195242.0,7401418.0,562.130767932
195180.0,7401496.0,561.86678352
195125.0,7401578.0,561.659777167
195169.0,7401667.0,560.903926978
195215.0,7401756.0,560.445814713
195287.0,7401823.0,559.50194274
195367.0,7401883.0,558.895457106
195433.0,7401958.0,558.025410704
195498.0,7402034.0,557.439150841
195563.0,7402110.0,557.018919267
195589.0,7402206.0,556.357497703
195612.0,7402303.0,555.982556137
195635.0,7402401.0,555.433747891
195650.0,7402499.0,554.631575801
195661.0,7402599.0,554.173617662
195673.0,7402698.0,553.176820872
195634.0,7402782.0,553.009739844
195560.0,7402809.0,553.139993113
195482.0,7402752.0,553.31771983
195431.0,7402666.0,554.130059324
195379.0,7402580.0,555.059666915
195324.0,7402497.0,555.123171791
195269.0,7402413.0,555.551348793
195214.0,7402329.0,556.222343006
195159.0,7402246.0,556.820499542
195072.0,7402201.0,557.828340031
194980.0,7402162.0,557.545780258
194880.0,7402164.0,557.915139785
194803.0,7402220.0,558.436745837
194745.0,7402299.0,559.285742165
194751.0,7402398.0,559.304001549
194821.0,7402468.0,558.615189743
194901.0,7402526.0,558.086201735
194989.0,7402574.0,557.513381108
